功能ID,功能名称,所属模块,优先级,描述,验收标准
1,共识1,范围控制,P0,两方都认同V1必须围绕[内部PRD]核心卖点收敛，避免做社区/商城/复杂AR等非成交关键功能，理由是2027Q1量产窗口下资源应集中在“骑行中高频刚需闭环”。,待定
2,共识2,HUD职责边界,P0,两方都认同HUD只承载骑行中高频低认知负担信息，复杂配置与管理放App，理由是安全优先，HUD不应成为重交互屏。,待定
3,共识3,导航能力,P0,两方都将HUD导航定义为V1核心，包含转向箭头、距离提示、偏航重算、到达提示，理由是这是最强购买理由之一且最符合骑行场景。,待定
4,共识4,拍摄与状态反馈,P0,两方都认为录制控制、录制中状态、存储/电量异常提示必须进V1，理由是4K拍摄是核心卖点，且用户需要“可感知的录制确定性”。,待定
5,共识5,语音与连接基础设施,P0,两方都要求语音反馈、设备连接状态、OTA、异常诊断纳入基础能力，理由是这些不是锦上添花，而是保证核心卖点可用的底座。,待定
6,裁决1,产品范围,P0,V1纳入组队骑行，但裁剪实现方式为“手机网络队伍状态+队内语音+掉队提醒”，不承诺自组Mesh硬件组网。,支持手机网络组队骑行，包含队伍状态、队内语音、掉队提醒；不要求Mesh硬件组网
7,裁决2,安全辅助,P1,V1统一定义为“后方安全辅助”，优先交付后方风险提示；实时画面仅在硬件验证通过后作为P1开启。,默认提供后方风险提示；实时后视画面仅在时延、发热、功耗验证通过后开放
8,裁决3,语音AI,P1,采用任务型AI助手，不做开放式聊天，聚焦骑行中免手操作。,支持任务型AI指令，覆盖导航、录制、通话、队伍、降噪、电量查询；无开放式聊天入口
9,裁决4,App基础,P1,支持游客/轻账号激活，降低首次使用门槛；云同步、售后、内容分享再逐步引导注册。,支持游客或轻账号完成设备激活；首次使用不强制注册
10,裁决5,增长功能,P2,V1不做重社区/训练平台，避免分散研发与设计资源。,V1不包含重社区、商城、训练平台等复杂增长功能
11,最终推荐方案,统一产品决策,P0,V1聚焦“安全抬显+可靠记录+清晰通话+轻量组队+任务型AI”五件事；HUD承载导航与状态，App承载配对激活、路线规划、视频管理、降噪设置、组队、OTA与诊断、SOS配置。,HUD支持导航箭头/距离/偏航、速度电量连接录制状态、来电媒体简控、队伍状态与掉队提醒、AI语音反馈；App支持配对激活、路线规划下发、4K视频管理、ANC/语音降噪设置、队伍创建加入、OTA与诊断、SOS联系人配置
12,CTO核心要点摘要,方案摘要,P0,CTO方案强调可交付性与边界清晰，明确V1/V2拆分、HUD与App职责、状态机与异常处理、连接链路、OTA与诊断底座，并对高风险硬件依赖做待锁定标记。,V1不写死高风险硬件能力；优先保证基础导航、连接、通话、媒体、SOS、设备管理闭环可量产
13,CMO核心要点摘要,方案摘要,P0,CMO方案强调卖点聚焦与用户表达，围绕六大卖点组织功能，砍掉社区、商城、训练平台等冗余。,V1围绕HUD导航、4K拍摄、主动降噪、语音降噪、组队骑行、AI助手形成可讲述的核心体验闭环
14,HUD导航,HUD模块,P0,显示转向箭头/下个动作距离/偏航重算/到达提示，支持昼夜模式与导航中断恢复。,HUD可显示转向箭头、距离、偏航重算、到达提示；支持昼夜模式切换与导航中断恢复
15,骑行状态栏,HUD模块,P0,显示电量/连接状态/定位状态/录制状态/时间，确保出发前与骑行中一眼确认设备可用性。,HUD持续显示电量、连接、定位、录制状态和时间，信息清晰可读
16,4K录制控制,HUD模块,P0,支持开始/停止录制、录制中提示、一键抓拍、关键片段标记、录制异常提醒。,支持开始/停止录制、录制中状态提示、一键抓拍、关键片段标记及异常提醒
17,来电与媒体简控,HUD模块,P0,显示来电人/接听拒接/通话状态/播放暂停/切歌，支持盲操与语音触发。,支持显示来电信息、接听拒接、通话状态、播放暂停、切歌，并支持盲操和语音触发
18,主动降噪状态,HUD模块,P0,显示ANC开关、语音增强、通话模式、环境感知模式状态，避免用户误判听觉能力。,HUD可显示ANC、语音增强、通话模式、环境感知模式当前状态
