功能ID,功能名称,所属模块,优先级,描述,验收标准
F001,账号注册登录,手机App,待定,支持账号注册与登录,用户可完成注册登录并进入App
F002,头盔绑定与基础互联,手机App,待定,支持头盔设备绑定及基础连接管理,用户可成功绑定头盔并查看连接状态
F003,HUD基础显示,头盔HUD系统,待定,提供骑行中基础信息显示能力,Hud可正常显示基础骑行信息
F004,导航,头盔HUD系统,购买理由,提供HUD导航显示与引导能力,可显示转向箭头距离提示并在偏航时提醒
F005,来电基础通知,头盔HUD系统,待定,同步手机来电并在HUD提醒,来电时可显示联系人或号码并触发提醒
F006,音乐基础通知,头盔HUD系统,待定,显示音乐播放状态并支持基础控制,可显示曲名播放状态并执行播放暂停
F007,消息基础通知,头盔HUD系统,待定,同步手机消息并显示摘要提醒,新消息到达时可显示来源与摘要
F008,设备状态与故障,头盔HUD系统,待定,显示设备电量连接及故障状态,异常时可显示对应告警且状态可实时更新
F009,骑行轨迹,手机App,待定,记录骑行轨迹并支持同步云端,骑行结束后可查看完整轨迹记录
F010,行车记录基础版,头盔设备系统,待定,支持骑行视频录制与管理,可开始停止录制并保存视频文件
F011,高光时刻基础版,手机App,待定,基于规则生成骑行高光片段,骑行结束后可自动生成高光片段
F012,第三方设备基础接入,手机App,待定,支持至少胎压设备接入,可成功连接胎压设备并读取数据
F013,OTA升级,手机App,待定,支持设备固件升级,用户可在App发起升级并查看结果
F014,日志与售后诊断,手机App,待定,支持日志采集与诊断信息上报,可导出或上传诊断日志用于售后分析
F015,AI剪片增强版,手机App,待定,通过AI增强视频剪辑能力,可基于视频素材生成增强版剪辑结果
F016,组队骑行与队友位置,头盔HUD系统,待定,支持组队骑行及队友位置显示,组队成功后可在HUD或App查看队友位置
F017,ADAS视觉能力增强,头盔HUD系统,待定,提供更高级的视觉安全辅助能力,可识别风险场景并输出预警
F018,社区深度玩法,手机App,待定,提供骑行社区互动功能,用户可发布浏览互动社区内容
F019,商城闭环,手机App,待定,提供商品浏览下单支付等商城能力,用户可完成商品购买闭环
F020,多模态AI交互,头盔HUD系统,待定,支持语音等多模态智能交互,用户可通过多种方式发起AI交互并获得反馈
F021,更多第三方生态接入,手机App,待定,扩展接入更多外部设备与服务,可新增并管理多类第三方设备
F022,HUD显示渲染,头盔HUD系统,待定,负责HUD实时显示渲染,Hud信息刷新流畅且满足实时显示要求
F023,导航路线计算,手机App,待定,负责导航路线规划与计算,输入目的地后可生成可用路线
F024,来电消息同步,手机App,待定,作为系统通知桥接同步来电与消息,授权后可稳定同步通知到头盔端
F025,音乐控制,头盔HUD系统,待定,支持头盔端控制手机媒体播放,用户操作后手机媒体状态正确变化
F026,AI语音助手,头盔HUD系统,待定,支持语音唤醒采音与指令执行,用户可唤醒助手并完成基础指令
F027,骑行轨迹记录,手机App,待定,以手机GPS为主记录骑行轨迹,骑行过程中可持续记录位置轨迹
F028,高光时刻生成,手机App,待定,生成骑行高光内容,可根据规则或AI生成高光结果
F029,设备绑定,手机App,待定,管理账号与设备绑定关系,同一账号下可查看已绑定设备
F030,氛围灯控制,头盔设备系统,待定,支持头盔氛围灯策略与配置,用户可在App配置并在头盔生效
F031,实体按键交互,头盔设备系统,待定,支持脱离手机的实体按键操作,按键可完成预设功能控制
F032,简易模式,头盔HUD系统,V1,极简信息显示仅保留速度导航箭头电量告警,切换后仅显示核心信息且界面清晰
F033,标准模式,头盔HUD系统,V1,显示速度导航设备状态及媒体消息摘要,切换后可展示标准信息布局
F034,速度显示,头盔HUD系统,V1,显示实时速度并支持超速提醒,骑行中可稳定显示速度且超阈值时提醒
